Unnamed: 0,Model Year,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,Fuel Efficiency City,Fuel Efficiency Highway,Fuel Efficiency Combined,Engine Group,Efficiency Ratio City,Efficiency Ratio Highway,Efficiency Ratio Combined,Emission Rate CO2 level
55,2022,3,558,1,4.0,8,12,3,16.9,10.2,13.8,20,323,3,3,0.0591715976331361,0.0980392156862745,0.072463768115942,4,0.014792899408284025,0.024509803921568624,0.0181159420289855,0.49
56,2022,3,561,7,3.0,6,12,3,12.5,9.7,11.2,25,262,4,5,0.08,0.1030927835051546,0.0892857142857142,3,0.02666666666666667,0.03436426116838487,0.029761904761904736,0.66
57,2022,3,560,7,3.0,6,12,3,12.5,9.7,11.2,25,262,4,5,0.08,0.1030927835051546,0.0892857142857142,3,0.02666666666666667,0.03436426116838487,0.029761904761904736,0.66
58,2022,3,562,8,4.0,8,12,3,16.0,11.4,13.9,20,325,3,3,0.0625,0.087719298245614,0.0719424460431654,4,0.015625,0.0219298245614035,0.01798561151079135,0.49
59,2022,3,563,8,4.0,8,12,3,16.0,11.4,13.9,20,325,3,3,0.0625,0.087719298245614,0.0719424460431654,4,0.015625,0.0219298245614035,0.01798561151079135,0.49
60,2022,3,619,12,2.0,4,6,2,10.5,7.9,9.4,30,218,5,7,0.0952380952380952,0.1265822784810126,0.1063829787234042,1,0.0476190476190476,0.0632911392405063,0.0531914893617021,0.83
61,2022,3,621,13,2.0,4,6,2,10.5,7.9,9.4,30,218,5,7,0.0952380952380952,0.1265822784810126,0.1063829787234042,1,0.0476190476190476,0.0632911392405063,0.0531914893617021,0.83
62,2022,3,620,12,2.5,5,6,3,11.7,8.1,10.1,28,235,5,3,0.0854700854700854,0.1234567901234568,0.099009900990099,2,0.034188034188034164,0.04938271604938272,0.0396039603960396,0.83
63,2022,3,622,12,2.0,4,6,3,10.0,7.7,9.0,31,209,5,3,0.1,0.1298701298701298,0.1111111111111111,1,0.05,0.0649350649350649,0.05555555555555555,0.83
64,2022,5,106,8,4.0,8,12,3,15.8,9.9,13.2,21,309,3,3,0.0632911392405063,0.101010101010101,0.0757575757575757,4,0.015822784810126576,0.02525252525252525,0.018939393939393926,0.49
65,2022,5,107,8,6.0,12,12,3,19.0,13.0,16.3,17,383,2,3,0.0526315789473684,0.0769230769230769,0.0613496932515337,4,0.0087719298245614,0.012820512820512817,0.010224948875255617,0.32
66,2022,5,190,12,4.0,8,7,3,14.9,9.0,12.2,23,287,4,3,0.0671140939597315,0.1111111111111111,0.0819672131147541,4,0.016778523489932876,0.027777777777777776,0.020491803278688527,0.66
67,2022,5,193,12,6.0,12,7,3,19.6,12.0,16.2,17,379,2,3,0.0510204081632653,0.0833333333333333,0.0617283950617284,4,0.008503401360544217,0.013888888888888883,0.0102880658436214,0.32
68,2022,5,191,3,4.0,8,7,3,15.2,9.2,12.5,23,294,4,3,0.0657894736842105,0.108695652173913,0.08,4,0.016447368421052624,0.02717391304347825,0.02,0.66
69,2022,5,192,3,6.0,12,7,3,20.3,12.9,17.0,17,395,2,3,0.0492610837438423,0.0775193798449612,0.0588235294117647,4,0.008210180623973716,0.012919896640826866,0.009803921568627449,0.32
70,2022,5,295,2,4.0,8,7,3,15.5,11.6,13.7,21,323,3,3,0.064516129032258,0.0862068965517241,0.072992700729927,4,0.0161290322580645,0.021551724137931026,0.01824817518248175,0.49
71,2022,5,295,2,6.0,12,7,3,19.2,12.2,16.0,18,373,2,3,0.0520833333333333,0.0819672131147541,0.0625,4,0.00868055555555555,0.013661202185792351,0.010416666666666666,0.32
72,2022,4,13,0,2.0,4,12,3,9.5,6.9,8.3,34,195,6,7,0.1052631578947368,0.144927536231884,0.1204819277108433,1,0.0526315789473684,0.072463768115942,0.06024096385542165,1.0
73,2022,4,14,12,2.0,4,12,3,10.0,7.1,8.7,32,202,6,7,0.1,0.1408450704225352,0.1149425287356322,1,0.05,0.0704225352112676,0.0574712643678161,1.0
74,2022,4,15,12,2.0,4,12,3,10.0,7.1,8.7,32,202,6,7,0.1,0.1408450704225352,0.1149425287356322,1,0.05,0.0704225352112676,0.0574712643678161,1.0
